website;display_name;active;monetized;priority;primary_income_source;niche;domain_age;income_2026_year_to_date;organic_traffic_12_month;notes
Bodypumpsaet.dk;Bodypumpsaet.dk;yes;yes;low;affiliate;fitness;12-04-2024;-;200;will be terminated
Baalfad.dk;Baalfad.dk;yes;yes;middle;affiliate;house and garden;20-06-2020;1.640 kr;3.057;cheap products with low commision. drop in traffic. new design in june 2026
Cooltips.dk;Cooltips.dk;yes;no;middle;blog;mixed content;05-09-2019;-;2.955;could be used to link sale but need higher domain rank
Cortensteel.dk;Cortensteel.dk;yes;yes;middle;affiliate;house and garden;27-01-2021;3.295 kr;3.438;
Crosstraineren.dk;Crosstraineren.dk;yes;yes;high;affiliate;fitness;23-01-2026;-;-;New site, needs to be rebuild
El-radiatorer.dk;El-radiatorer.dk;yes;yes;low;affiliate;house and garden;15-07-2022;237 kr;1.609;cheap products with low commision. drop in traffic. needs new design
eMaling.dk;eMaling.dk;yes;no;low;affiliate;house and garden;27-01-2021;-;324;
Espressolover.dk;Espressolover.dk;yes;yes;middle;affiliate;house and garden;27-01-2021;613 kr;3.044;Pricerunner publisher. very low commision
FarsGave.dk;FarsGave.dk;no;no;low;;;19-05-2022;;;will be terminated
Fitnesshandsker.dk;Fitnesshandsker.dk;yes;yes;low;affiliate;fitness;12-04-2024;16 kr;166;will be terminated
Gymnastikribbe.dk;Gymnastikribbe.dk;yes;yes;high;affiliate;fitness;12-04-2024;5.239 kr;2.328;small niche - high commision
Helpdesken.dk;Helpdesken.dk;yes;yes;high;blog;IT;08-08-2012;10.628 kr;26.918;monetized via link sale. old blog, neddes update in content and design
Indretmedstil.dk;Indretmedstil.dk;yes;yes;middle;affiliate;house and garden;24-10-2021;-;1.206;need general update in design, blogpost and products
IT-ordbogen.dk;IT-ordbogen.dk;yes;no;high;blog;IT;07-12-2024;-;1.825;courrently under update.
Lobebaand.dk;Lobebaand.dk;yes;yes;high;affiliate;fitness;07-12-2024;11.217 kr;1.891;high potential, high commision
Motionscyklen.dk;Motionscyklen.dk;yes;yes;high;affiliate;fitness;23-01-2026;287 kr;45;new site, high potential, high commision
Motionsmaskinen.dk;Motionsmaskinen.dk;yes;yes;high;affiliate;fitness;21-04-2019;41.868 kr;7.969;high potential, high commision, needs design og content update
Proheat;Proheat;yes;yes;middle;affiliate;house and garden;12-08-2022;332 kr;2.219;Pricerunner publisher. very low commision. needs design and content update
Pulsbaelte.dk;Pulsbaelte.dk;yes;yes;high;affiliate;fitness;12-04-2024;1.510 kr;223;cheap products, ok commision, needs content update
Robotland.dk;Robotland.dk;yes;yes;high;affiliate;house and garden;23-04-2016;10.764 kr;14.527;high potential, low commision, needs design update. high drop in income
Romaskinen.dk;Romaskinen.dk;yes;tes;high;affiliate;fitness;01-02-2022;52.859 kr;13.021;high potential, high commision, needs design update. high drop in income
RunnersByChoice.dk;RunnersByChoice.dk;yes;no;high;affiliate;fitness;08-03-2017;-;65;needs content and monetization
Stavgangsstave.dk;Stavgangsstave.dk;yes;;;affiliate;fitness;12-04-2024;-;168;will be terminated
SU-Media.dk;SU-Media.dk;yes;no;middle;blog;Marketing;08-01-2019;-;168;Company website - can be monetized
Varmeblæsere;Varmeblæsere;yes;;;affiliate;house and garden;15-07-2022;-;561;cheap products, low commision, newly updated
Morsgave.dk;Morsgave.dk;no;;;;;;;;will be terminated
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
